word,credit,website,note
stinky,rubn,,WORSE THAN LILYPADSTEIN
gay,website,https://alligator-forest.itch.io/,GO MY HUNDREDS GO GO GO
amaranthine,Alex Limone,,BallOS
acedia,MegidoArk,https://github.com/MegidoArk/,Ballos
hippopotomonstrosesquipedaliophobia,Iamironman15,,:)
ostensibly,va,https://physi.bandcamp.com,"everyone should follow me on bandcamp and spotify and listen to the albums there like 'love, from the trees and the sun' and 'Glow'. i also think everyone should play kitten love emulator which i honestly believe is one of the best games ever made https://store.steampowered.com/app/971480"
fortnight,uncredited,,its ok
paprika,uncredited,,Mmm chocolate donut
osprey,sun_sun (on literally anything idc),,orb
hi,rubn,Zombo.com,EWWWWWW
ra,rubn,Zombo.com,EWWWWWW
ga,rubn,Zombo.com,EWWWWWW
na,rubn,Zombo.com,EWWWWWW
fortnite,skrunkgy,https://localhost:8080,its ok
ludicrous,Top Rat This Side of the Sahara,no.com,Balright
crisp,supersonicdashz,,blerp blorp
frost,supersonicdashz,,blerp blorp
calcite,supersonicdashz,,blerp blorp
precious,supersonicdashz,,blerp blorp
halo,supersonicdashz,,blerp blorp
sheepishly,supersonicdashz,,blerp blorp
pebbles,supersonicdashz,,blerp blorp
lukewarm,supersonicdashz,,blerp blorp
switcheroo,supersonicdashz,,blerp blorp
slinky,supersonicdashz,,blerp blorp
locket,supersonicdashz,,blerp blorp
wronskian,WobbliestGem,,"no thoughts, head empty"
epicaricacy,WobbliestGem,,"no thoughts, head empty"
tokiponido,WobbliestGem,,"no thoughts, head empty"
stravenue,WobbliestGem,,"no thoughts, head empty"
numismatician,WobbliestGem,,"no thoughts, head empty"
isestablishmentarianism,calchoo,https://kamical.itch.io/,magnum opus
pneumonoultramicroscopicsilicovolcanoconiosis,calchoo,https://kamical.itch.io/,magnum opus
floccinaucinihilipilification,calchoo,https://kamical.itch.io/,magnum opus
ampule,calchoo,https://kamical.itch.io/,magnum opus
ream,calchoo,https://kamical.itch.io/,magnum opus
pshaw,calchoo,https://kamical.itch.io/,magnum opus
yacht,calchoo,https://kamical.itch.io/,magnum opus
soda,calchoo,https://kamical.itch.io/,magnum opus
can,calchoo,https://kamical.itch.io/,magnum opus
explosion,calchoo,https://kamical.itch.io/,magnum opus
fruit,calchoo,https://kamical.itch.io/,magnum opus
gummy,calchoo,https://kamical.itch.io/,magnum opus
weed,calchoo,https://kamical.itch.io/,magnum opus
cocaine,calchoo,https://kamical.itch.io/,magnum opus
fentanyl,calchoo,https://kamical.itch.io/,magnum opus
horse,calchoo,https://kamical.itch.io/,magnum opus
game,calchoo,https://kamical.itch.io/,magnum opus
nuclear,calchoo,https://kamical.itch.io/,magnum opus
bomb,calchoo,https://kamical.itch.io/,magnum opus
sunscreen,calchoo,https://kamical.itch.io/,magnum opus
peak,calchoo,https://kamical.itch.io/,magnum opus
cinema,calchoo,https://kamical.itch.io/,magnum opus
resident,calchoo,https://kamical.itch.io/,magnum opus
evil,calchoo,https://kamical.itch.io/,magnum opus
requiem,calchoo,https://kamical.itch.io/,magnum opus
persona,calchoo,https://kamical.itch.io/,magnum opus
unbeatable,calchoo,https://kamical.itch.io/,magnum opus
